[07.08.2017 13:23:00]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:00]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:01]	INFO	_G9vx1ybAqXeERNffEDSu0wLBgfg: Equipment loaded properly.
[07.08.2017 13:23:01]	INFO	_QgLpJNB8TNvFG5dy8aEqxBavlIb: Setting hero speed to 454 (ingame: 524)
[07.08.2017 13:23:01]	INFO	_CJbKBYtGEkOa1w3CxhAOgAai1EFb: Travelling to current schedule map 2-3
[07.08.2017 13:23:13]	INFO	_QgLpJNB8TNvFG5dy8aEqxBavlIb: Sending jump packet.
[07.08.2017 13:23:13]	INFO	_QgLpJNB8TNvFG5dy8aEqxBavlIb: Jumping intra-server to 2-4.
[07.08.2017 13:23:16]	INFO	_QgLpJNB8TNvFG5dy8aEqxBavlIb: Config is now 1
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	DEBUG	_QgLpJNB8TNvFG5dy8aEqxBavlIb: _xiPyu27LwQ8yY4u9wgsJMkFPXtb: Removed stationary map object
[07.08.2017 13:23:16]	INFO	_QgLpJNB8TNvFG5dy8aEqxBavlIb: Setting hero speed to 454 (ingame: 524)
[07.08.2017 13:23:16]	INFO	_CJbKBYtGEkOa1w3CxhAOgAai1EFb: Travelling to current schedule map 2-3
[07.08.2017 13:23:27]	INFO	_G9vx1ybAqXeERNffEDSu0wLBgfg: Skylab loaded properly.
